,id,score,word_sent,total_time,date,attempts,time_find_word,length,vowels,win
0,62cc5232b9da5504aa5f8054,0.2222222222222222,retirados,3.6474889269993582,2022-07-11T16:39:14.934617,1,2.4577163840003777,9,4,True
1,62cc5232b9da5504aa5f8054,0.7777777777777778,menciones,3.6474889269993582,2022-07-11T16:39:15.834799,2,2.4577163840003777,9,4,True
2,62cc5232b9da5504aa5f8054,1.0,pensiones,3.6474889269993582,2022-07-11T16:39:16.636531,3,2.4577163840003777,9,4,True
0,62bb8465a43f4f7e528de403,0.3076923076923077,continentales,6.193741838999983,2022-06-28T22:44:55.794850,1,,13,5,True
1,62bb8465a43f4f7e528de403,1.0,refrigerantes,6.193741838999983,2022-06-28T22:44:56.554823,2,,13,5,True
0,62cc4ed1f18b6d7efd74e3a0,0.4,contenidas,2.6511918420001166,2022-07-11T16:24:49.757458,1,1.622172920000594,10,4,True
1,62cc4ed1f18b6d7efd74e3a0,1.0,combinaban,2.6511918420001166,2022-07-11T16:24:50.502910,2,1.622172920000594,10,4,True
0,62bc6afcd0c67da76c36d2b4,0.3333333333333333,copernicanas,10.883146318999934,2022-06-29T15:08:50.098462,1,7.46998874000019,12,5,True
1,62bc6afcd0c67da76c36d2b4,0.75,competidores,10.883146318999934,2022-06-29T15:08:50.955794,2,7.46998874000019,12,5,True
2,62bc6afcd0c67da76c36d2b4,1.0,compositores,10.883146318999934,2022-06-29T15:08:51.694265,3,7.46998874000019,12,5,True
0,62cc58afc4fc9213b3e56ff4,0.2857142857142857,antirio,7.555273051000768,2022-07-11T17:06:57.838943,1,3.996979671999725,7,4,True
1,62cc58afc4fc9213b3e56ff4,0.5714285714285714,nicolai,7.555273051000768,2022-07-11T17:06:58.558754,2,3.996979671999725,7,4,True
2,62cc58afc4fc9213b3e56ff4,1.0,minoica,7.555273051000768,2022-07-11T17:06:59.198690,3,3.996979671999725,7,4,True
0,62ba5736e27560ca5f8e296c,0.2857142857142857,antirio,10.656048270999236,2022-06-28T01:19:50.967016,1,,7,4,True
1,62ba5736e27560ca5f8e296c,0.5714285714285714,hipatia,10.656048270999236,2022-06-28T01:19:52.587208,2,,7,4,True
2,62ba5736e27560ca5f8e296c,1.0,existia,10.656048270999236,2022-06-28T01:19:54.185266,3,,7,4,True
0,62cc47cd6d14e0c39d5cd7c5,0.4285714285714285,camaras,3.46515851500044,2022-07-11T15:54:53.987711,1,2.3528881590009405,7,3,True
1,62cc47cd6d14e0c39d5cd7c5,0.4285714285714285,anclada,3.46515851500044,2022-07-11T15:54:54.849960,2,2.3528881590009405,7,3,True
2,62cc47cd6d14e0c39d5cd7c5,1.0,luchaba,3.46515851500044,2022-07-11T15:54:55.567677,3,2.3528881590009405,7,3,True
0,62ba54b4e27560ca5f8e295c,0.5833333333333334,concentrados,3.638728284000536,2022-06-28T01:09:09.224055,1,,12,4,True
1,62ba54b4e27560ca5f8e295c,0.5,congresistas,3.638728284000536,2022-06-28T01:09:10.001167,2,,12,4,True
2,62ba54b4e27560ca5f8e295c,1.0,contrapartes,3.638728284000536,2022-06-28T01:09:10.701162,3,,12,4,True
0,62cc46ad6d14e0c39d5cd7c1,0.3,contenidas,12.59828250300052,2022-07-11T15:50:06.209693,1,1.6675752680002915,10,4,True
1,62cc46ad6d14e0c39d5cd7c1,1.0,bombardeos,12.59828250300052,2022-07-11T15:50:07.027384,2,1.6675752680002915,10,4,True
0,62b92b72b18b58a8b33cd398,0.3333333333333333,cartas,6.02709579400107,2022-06-27T04:00:50.774450,1,,6,2,True
1,62b92b72b18b58a8b33cd398,0.6666666666666666,forman,6.02709579400107,2022-06-27T04:00:51.494391,2,,6,2,True
2,62b92b72b18b58a8b33cd398,1.0,fernan,6.02709579400107,2022-06-27T04:00:52.138880,3,,6,2,True
0,62bd1ff6786f6860fb24bde1,0.125,parecido,34.624922506001894,2022-06-30T04:01:12.296778,1,30.975013061000936,8,4,True
1,62bd1ff6786f6860fb24bde1,1.0,forneria,34.624922506001894,2022-06-30T04:01:25.477893,2,30.975013061000936,8,4,True
0,62cc5afdfce6102cedbaa5e8,0.2,caras,5.8714129279997,2022-07-11T17:16:46.641964,1,1.5369329330005712,5,2,True
1,62cc5afdfce6102cedbaa5e8,1.0,conto,5.8714129279997,2022-07-11T17:16:47.441086,2,1.5369329330005712,5,2,True
0,62bb8444a43f4f7e528de3fe,0.2857142857142857,camaras,16.043905213000016,2022-06-28T22:44:22.732380,1,,7,3,True
1,62bb8444a43f4f7e528de3fe,0.4285714285714285,bolitas,16.043905213000016,2022-06-28T22:44:25.593969,2,,7,3,True
2,62bb8444a43f4f7e528de3fe,1.0,fibulas,16.043905213000016,2022-06-28T22:44:27.874196,3,,7,3,True
0,62c5fdc498c8b70e312291be,0.2222222222222222,acuciando,40.69566956599965,2022-07-06T21:25:29.840300,1,30.55108514199992,9,5,True
1,62c5fdc498c8b70e312291be,0.3333333333333333,alfareria,40.69566956599965,2022-07-06T21:25:39.362248,2,30.55108514199992,9,5,True
2,62c5fdc498c8b70e312291be,1.0,atraviesa,40.69566956599965,2022-07-06T21:25:54.997924,3,30.55108514199992,9,5,True
0,62bda317f214c5645f157f1e,0.25,sant,2.928441962000079,2022-06-30T13:20:23.985518,1,1.9362293719998436,4,1,True
1,62bda317f214c5645f157f1e,0.5,zorn,2.928441962000079,2022-06-30T13:20:24.640188,2,1.9362293719998436,4,1,True
2,62bda317f214c5645f157f1e,1.0,bron,2.928441962000079,2022-06-30T13:20:25.262611,3,1.9362293719998436,4,1,True
0,62c767e82d59f8d59b79da0b,0.5,cartas,7.838934235998749,2022-07-07T23:10:35.078182,1,5.009098386002734,6,2,True
1,62c767e82d59f8d59b79da0b,0.8333333333333334,compas,7.838934235998749,2022-07-07T23:10:35.720380,2,5.009098386002734,6,2,True
2,62c767e82d59f8d59b79da0b,1.0,coplas,7.838934235998749,2022-07-07T23:10:37.883785,3,5.009098386002734,6,2,True
0,62bb11dccaf50050bc52bf0e,0.6666666666666666,acuciando,5.6697363250023045,2022-06-28T14:36:13.681733,1,,9,5,True
1,62bb11dccaf50050bc52bf0e,1.0,anunciada,5.6697363250023045,2022-06-28T14:36:14.559588,2,,9,5,True
0,62bd264d2a084e04126ae758,0.125,cortadas,9.389742833998753,2022-06-30T04:27:59.863341,1,7.872335215997737,8,3,True
1,62bd264d2a084e04126ae758,0.25,piedmont,9.389742833998753,2022-06-30T04:28:02.444434,2,7.872335215997737,8,3,True
2,62bd264d2a084e04126ae758,1.0,difutbol,9.389742833998753,2022-06-30T04:28:05.422952,3,7.872335215997737,8,3,True
0,62cc5ba61cca84028162bba3,0.5714285714285714,camaras,6.034006156000032,2022-07-11T17:19:34.765408,1,2.3392694249996566,7,3,True
1,62cc5ba61cca84028162bba3,0.4285714285714285,maestro,6.034006156000032,2022-07-11T17:19:35.662264,2,2.3392694249996566,7,3,True
